Question,Statement,Effect size
Q1,I can confidently explain place value,0.95
Q2,I can teach fractions using visual models,1.1
Q3,I use real-life examples in numeracy lessons,0.8
Q4,I can diagnose why a pupil made an error,1.25
Q5,I feel confident teaching multiplication,0.7
Q6,I can adapt a lesson for a struggling pupil,1.05
Q7,I use group work in numeracy lessons,0.45
Q8,I can assess numeracy without a written test,0.9
Q9,I know where pupils commonly go wrong,1.15
Q10,I have enough teaching aids available,-0.2
Q11,I can explain a concept more than one way,1.0
Q12,I have time to prepare numeracy lessons,0.05
